DBN,School Name, Average Score SAT Math,Average Score SAT Reading and Writing,4-Year Graduation Rate,Average Regents Score - English , Average Regents Score - Algebra I 
27Q400,August Martin High School,447.2,451.4,62.70%,72.5,62
27Q475,Richmond Hill High School,457.5,462.9,69.20%,66.7,66.3
27Q480,John Adams High School,466.9,464.3,70.90%,64.8,67.2
27Q650,"High School for Construction Trades, Engineering a",551,531,98.30%,85.2,74.5
28Q157,J.H.S. 157 Stephen A. Halsey,,,,,81.2
28Q167,Metropolitan Expeditionary Learning School,520,535.4,97.00%,79.5,66.4
28Q284,York Early College Academy,537.1,551.2,98.80%,88.6,76.8
28Q310,Queens Collegiate: A College Board School,472.8,472.1,88.10%,71.2,71.7
28Q325,Hillside Arts & Letters Academy,458.9,465.5,84.30%,76.6,73.5
28Q328,High School for Community Leadership,454.8,460.3,90.60%,80.5,76.1
28Q350,Jamaica Gateway to the Sciences,500.4,503.7,83.40%,77.5,69.9
28Q440,Forest Hills High School,539,523.9,87.90%,82.3,71.6
28Q505,Hillcrest High School,489,488.8,73.20%,74.3,64.2
28Q620,Thomas A. Edison Career and Technical Education Hi,527.8,527.4,88.80%,85.8,76.2
28Q680,Queens Gateway to Health Sciences Secondary School,567.1,580.8,96.30%,82.2,76.8
28Q686,Queens Metropolitan High School,490.7,495,86.20%,79.3,75.6
28Q687,Queens High School for the Sciences at York Colleg,713.7,669.9,100.00%,95.2,88.9
28Q690,High School for Law Enforcement and Public Safety,423.8,447.2,79.60%,72.3,62.5
28Q896,"Young Women's Leadership School, Queens",456,485.1,96.40%,81.7,70.7
29Q243,Institute for Health Professions at Cambria Height,432.7,452.4,88.90%,70,
29Q248,Queens Preparatory Academy,448.3,448.8,70.40%,68.4,65.4
29Q259,Pathways College Preparatory School: A College Boa,455.2,477,66.30%,70.7,58.8
29Q265,Excelsior Preparatory High School,433.1,452.1,79.20%,64.4,68.6
29Q272,George Washington Carver High School for the Scien,442.9,458.3,78.20%,72.8,63.9
29Q283,Preparatory Academy for Writers: A College Board S,466.1,475.9,89.50%,76.9,65
29Q313,Benjamin Franklin High School for Finance & Inform,,,,72.3,64.5
29Q326,Cambria Heights Academy,453.4,476.9,86.00%,70.3,59.7
29Q327,Eagle Academy for Young Men III,468.6,488.4,92.60%,75.3,63
29Q492,"Mathematics, Science Research and Technology Magne",440.5,457.6,71.40%,67.5,61.1
29Q498,Humanities & Arts Magnet High School,439.6,460.8,67.50%,63.9,63.5
30Q258,Energy Tech High School,529.8,514.2,93.10%,75.3,69.1
30Q286,"Young Women's Leadership School, Astoria",510.9,517.3,96.30%,84.1,73.2
30Q301,Academy for Careers in Television and Film,484.7,496.7,98.30%,85.3,66
30Q445,William Cullen Bryant High School,499.2,490.3,71.60%,66.3,65.9
30Q450,Long Island City High School,450,467.8,65.90%,68.1,65.4
30Q501,Frank Sinatra School of the Arts High School,540.3,564.9,92.80%,88.3,74
30Q502,Information Technology High School,501.6,489.7,84.40%,77,69.5
30Q555,Newcomers High School,528.4,457.5,77.00%,58.1,73.1
30Q575,Academy of American Studies,552.6,561,92.50%,81.8,74.6
30Q580,Baccalaureate School for Global Education,654,652.2,98.90%,92.8,72.5
31R047,CSI High School for International Studies,546.9,553.4,99.20%,90,78.3
31R064,Gaynor McCown Expeditionary Learning School,501.9,504.4,91.30%,85.1,69.1
31R080,The Michael J. Petrides School,521.1,534.7,93.20%,80.3,63.5
31R440,New Dorp High School,495.1,502.1,80.10%,79.1,68
31R445,Port Richmond High School,448.2,460.3,67.00%,71.8,68.6
31R450,Curtis High School,486.5,501.9,72.70%,70.3,65.7
31R455,Tottenville High School,540.5,543.3,88.90%,83,72
31R460,Susan E. Wagner High School,532.7,541.1,85.90%,81.7,65
31R600,Ralph R. McKee Career and Technical Education High,493.8,498.9,77.10%,74.4,69.6
31R605,Staten Island Technical High School,717.3,680.2,99.70%,96,90.6
32K168,The Brooklyn School for Math and Research,476.4,463.8,89.40%,86.8,73.5
32K403,Academy for Environmental Leadership,439.6,428.4,69.50%,62.7,62.6
32K545,EBC High School for Public Service - Bushwick,444,447.7,70.50%,64.6,61.5
32K549,Bushwick School for Social Justice,430.6,447.8,68.60%,63,59.9
32K552,Academy of Urban Planning,407.1,412.9,79.20%,61.8,62.6
32K554,All City Leadership Secondary School,552.7,547,97.40%,84.7,68.5
32K556,Bushwick Leaders High School for Academic Excellen,420,432.2,73.00%,57.4,56
84K356,Achievement First Crown Heights Charter School,558.8,532.6,79.10%,76.4,76.2
84K357,KIPP AMP Charter School,490.8,480.4,96.20%,69.4,75.4
84K358,Achievement First East New York Charter School,535,542.7,71.00%,79.5,80.5
84K359,The Uft Charter School,431.9,453.3,83.30%,72,60
84K473,Williamsburg Charter High School,444.8,462,82.90%,69.5,62.2
84K508,Achievement First Endeavor Charter School,546,517.2,87.70%,74.6,73.8
84K517,Leadership Prep Bedford Stuyvesant Uncommon Prep C,498.4,486,92.30%,68.2,70.5
84K538,Achievement First Bushwick Charter School,565.7,550.3,90.00%,80.7,79.8
84K626,Achievement First Brownsville Charter School,,,,,79.3
84K652,Brooklyn Ascend Charter School,,,,83.3,71.1
84K693,Northside Charter High School,464.1,466.5,89.00%,73.1,60.5
84K707,Brooklyn Prospect Charter School,537.3,555.1,93.70%,75.9,75.5
84K712,Excellence Girls Charter School,504.8,483.1,91.00%,65.1,73.5
84K730,Summit Academy Charter School,473.2,487.4,81.80%,73.9,67.7
84K733,"Math, Engineering, and Science Academy Charter Hig",461.7,465.4,89.70%,78.1,71.8
84K738,New Visions Charter High School for Advanced Math,461.9,471.3,90.70%,73.4,70.2
84K739,New Visions Charter High School for the Humanities,429.6,461.2,82.20%,69,59.2
84K744,Coney Island Preparatory Public Charter School,557.1,547.3,89.90%,79.5,69.4
84K757,Unity Prep Charter School,,,,,71.4
84K775,Leadership Preparatory Ocean Hill Charter School,,,,63,67.7
84M065,Democracy Prep Endurance Charter School,,,,79.8,76.8
84M068,KIPP Washington Heights Middle School,,,,74.6,79.6
84M279,The Opportunity Charter School,436.3,436.3,86.30%,61.1,61.1
84M284,Harlem Children's Zone Promise Academy 1 Charter S,507.4,500.7,100.00%,74.4,73.2
84M335,Harlem Village Academy Leadership Charter School,,,94.20%,74.9,75.1
84M336,KIPP Infinity Charter School,518.4,510.7,95.10%,74.9,75
84M341,Harlem Children's Zone Promise Academy II Charter,513,508.7,100.00%,79.9,78.2
84M350,Democracy Prep Charter School,549.1,535.6,64.60%,84.8,75.2
84M351,Success Academy Charter School - Harlem 1,,,,90.6,
84M353,New Heights Academy Charter School,463.6,469.6,92.80%,80.5,73.8
84M433,Renaissance Charter High School for Innovation,393.8,421.7,54.10%,62.8,60.6
84M478,Inwood Academy for Leadership Charter School,,,,71.2,68.9
84M481,Democracy Prep Harlem Charter School,571.3,546.4,85.00%,81.3,74.9
84M522,Broome Street Academy Charter School,426.7,450.7,68.80%,74,61.7
