DBN,School Name, Average Score SAT Math,Average Score SAT Reading and Writing,4-Year Graduation Rate,Average Regents Score - English , Average Regents Score - Algebra I 
10X141,Riverdale / Kingsbridge Academy (Middle School / H,512.2,515.6,91.80%,76.9,71
10X213,Bronx Engineering and Technology Academy,429.1,435.5,76.50%,68.4,61.4
10X225,Theatre Arts Production Company School,438.9,447.9,73.20%,73.7,68.4
10X237,"The Marie Curie School for Medicine, Nursing, and",439.2,455.1,57.50%,71.1,61.1
10X243,West Bronx Academy for the Future,427.2,440.4,87.30%,73.9,65.4
10X264,Bronx Academy for Software Engineering (BASE),478.5,478.4,78.40%,73.7,67.2
10X268,Kingsbridge International High School,407.6,408.7,56.90%,54.3,66
10X284,Bronx School of Law and Finance,432.4,429.2,76.50%,68.3,63.4
10X342,International School for Liberal Arts,399.8,397.1,76.60%,65,67.4
10X351,Bronx Collaborative High School,411.4,429.3,50.90%,57.8,
10X353,World View High School,413.9,423.5,85.70%,74.9,66.3
10X368,In-Tech Academy (M.S. / High School 368),470.7,473,85.60%,79.5,62.4
10X374,Knowledge and Power Preparatory Academy Internatio,484.1,508.1,90.90%,72.3,67.3
10X433,High School for Teaching and the Professions,416.5,440.3,81.40%,66.9,62.8
10X434,Belmont Preparatory High School,483.9,498.1,91.80%,71,67.1
10X437,Fordham High School for the Arts,463.8,473.5,93.10%,70.3,65.5
10X438,Fordham Leadership Academy,384.6,386.3,71.60%,69,61.5
10X439,Bronx High School for Law and Community Service,433.8,445.2,85.30%,73.1,68.7
10X440,DeWitt Clinton High School,485.7,498,49.90%,59.9,65.3
10X442,"Celia Cruz Bronx High School of Music, The",456.8,484,95.20%,77.7,70.1
10X445,Bronx High School of Science,718.8,674.1,99.90%,95.3,92.6
10X477,Marble Hill High School for International Studies,489,476.4,89.50%,77.2,73.2
10X524,Crotona International High School,380.7,374.3,63.20%,51,63.9
10X546,Bronx Theatre High School,412.8,439.8,65.80%,68.8,67.7
10X549,Discovery High School,494,468.6,80.00%,80.2,75.3
10X565,High School for Energy and Technology,454.2,463,63.30%,70.9,63
10X696,High School of American Studies at Lehman College,679.8,676.8,98.70%,95.9,86.3
11X249,Bronx Health Sciences High School,480.4,504.3,92.90%,68.9,61.8
11X253,Bronx High School for Writing and Communication Ar,405.2,436.2,67.00%,65.7,62.3
11X265,Bronx Lab School,429.2,461.9,59.60%,66.4,
11X270,Academy for Scholarship and Entrepreneurship: A Co,415.6,432.9,64.60%,70.9,62.3
11X275,High School of Computers and Technology,435.2,470.1,60.90%,76.2,70.7
11X288,Collegiate Institute for Math and Science,494,504.2,89.80%,81.5,73.2
11X290,Bronx Academy of Health Careers,453.7,467.9,81.00%,72,59
11X299,Astor Collegiate Academy,459.1,489.2,80.30%,62.8,65.5
11X418,Bronx High School for the Visual Arts,456.3,476.8,66.10%,65.2,62
11X455,Harry S Truman High School,453.3,470.6,75.60%,71,65.9
11X508,Bronxdale High School,431,452.9,76.30%,65.9,61.8
11X509,High School of Language and Innovation,431.6,405.2,72.70%,64.8,69.5
11X513,New World High School,476.8,428.5,87.80%,73.6,71
11X514,The Bronxwood Preparatory Academy,426.7,451.9,63.50%,65.5,63.8
11X542,Pelham Preparatory Academy,466.4,479.4,90.40%,75.5,65.7
11X544,High School for Contemporary Arts,429.1,457,75.20%,65.6,59.6
11X545,Bronx Aerospace High School,445.9,468.2,67.80%,68.8,59.3
12X242,Mott Hall V,481,471,89.20%,81,70.2
12X248,"Metropolitan High School, The",434,451.3,49.50%,55.8,58.5
12X251,Explorations Academy,408,405.8,66.30%,66.4,63.4
12X267,Bronx Latin,463.6,468.6,95.80%,73.9,66.4
12X271,East Bronx Academy for the Future,438.8,423.9,78.40%,57.7,62.9
12X372,Urban Assembly School for Wildlife Conservation,439.5,451.7,75.00%,65.5,62.3
12X388,Pan American International High School at Monroe,374.2,384.2,78.50%,70.2,70.3
12X478,The Cinema School,487.7,504.9,95.60%,78.3,67
12X479,Bronx Career and College Preparatory High School,415.8,433.3,42.50%,65.9,59.9
12X511,Bronx Envision Academy,401,421.5,64.00%,69.6,61.2
12X521,The Metropolitan Soundview High School,439.5,441.5,63.10%,67.1,65.6
12X550,High School of World Cultures,422.9,410.6,38.50%,51.1,60.5
12X682,Fannie Lou Hamer Freedom High School,403.3,417.9,67.90%,53.1,
12X684,Wings Academy,416.7,424,53.30%,69.4,63.4
12X692,Monroe Academy for Visual Arts & Design,408.5,409.8,60.90%,49.2,61.5
13K265,Dr. Susan S. McKinney Secondary School of the Arts,424.1,432.6,68.70%,76.8,61.6
13K350,Urban Assembly School for Music and Art,435.3,450.3,77.60%,61.1,61.5
13K412,"Brooklyn Community High School of Communication, A",426,419.9,76.90%,61.8,61.9
13K419,"Science Skills Center High School for Science, Tec",481.2,484.4,84.30%,66.1,67.5
13K430,Brooklyn Technical High School,691.9,632.1,98.20%,93,87.8
13K439,Brooklyn International High School,431.1,399.6,79.80%,62.8,
13K483,The Urban Assembly School for Law and Justice,479.1,488,90.90%,81.3,64.4
13K499,ACORN Community High School,421.6,453.3,74.30%,62.1,65.9
13K527,Urban Assembly Institute of Math and Science for Y,466.7,496,78.30%,75.3,63.7
13K595,Bedford Academy High School,506.2,502.6,97.60%,89.2,80.1
13K605,George Westinghouse Career and Technical Education,457.8,471.2,73.50%,69.2,65
13K670,Benjamin Banneker Academy,507.4,535.6,91.70%,76.9,66.8
13K674,"City Polytechnic High School of Engineering, Archi",426.1,412.4,86.70%,80.3,64.4
14K071,Juan Morel Campos Secondary School,417.5,413,66.00%,62.5,59.7
14K449,"Brooklyn Latin School, The",648.5,629.6,98.80%,93.1,
14K454,Green School: An Academy for Environmental Careers,389.2,403.2,68.40%,64,63.4
14K474,PROGRESS High School for Professional Careers,431.7,438.5,77.70%,63,59.5
14K477,School for Legal Studies,407.8,418.4,64.30%,73.4,64
14K478,"The High School for Enterprise, Business and Techn",474.6,469.1,77.60%,71,62.3
14K488,Brooklyn Preparatory High School,442.6,463.8,92.40%,73.9,67.3
14K558,Williamsburg High School for Architecture and Desi,463.3,469,94.70%,79.5,70.9
14K561,Williamsburg Preparatory School,489.8,482.4,94.60%,79.3,70.9
14K586,Lyons Community School,411.9,435.7,65.40%,66.1,
14K610,Automotive High School,423.2,441.1,72.10%,61.1,63.7
14K614,Young Women's Leadership School of Brooklyn,463.8,471.9,100.00%,80.7,65.8
14K632,Frances Perkins Academy,422.6,438.4,75.90%,64.9,69.5
14K685,El Puente Academy for Peace and Justice,383.6,408.2,56.10%,69.1,
15K429,Digital Arts and Cinema Technology High School,427.1,453.8,69.40%,73.9,62.3
15K448,Brooklyn Secondary School for Collaborative Studie,434.2,456.4,89.90%,69,
15K462,John Jay School for Law,460.2,477.5,86.40%,74.8,64.7
15K463,Secondary School for Journalism,446.3,471.5,65.40%,66.7,63.3
15K464,Park Slope Collegiate,452,449.6,63.80%,68.2,65.8
15K497,The Boerum Hill School for International Studies,452.2,459.3,77.60%,57.6,62.6
15K519,Cobble Hill School of American Studies,431.5,475.7,78.70%,69.3,63
15K592,Khalil Gibran International Academy,490,481.9,67.30%,63.9,60.2
15K656,Brooklyn High School of the Arts,482.2,491.8,84.50%,74.7,66.4
15K667,Sunset Park High School,445.2,449.2,77.20%,73,67.1
15K684,Millennium Brooklyn HS,563.4,577,98.80%,93.1,80.6
16K393,Frederick Douglass Academy IV Secondary School,,,59.10%,56.7,54.7
16K455,Boys and Girls High School,424.9,452.8,62.70%,71.4,62.4
16K498,Brooklyn High School for Law and Technology,447.3,452.5,74.20%,69.9,62.3
16K594,Gotham Professional Arts Academy,421.9,445.2,54.50%,77.2,
16K688,The Brooklyn Academy of Global Finance,,,65.70%,54.4,49
16K765,Nelson Mandela High School,,,,71.1,64.8
17K122,Pathways in Technology Early College High School (,414.5,414,80.50%,64.5,68.5
17K382,Academy for College Preparation and Career Explora,428,450,64.10%,66.5,63.9
17K408,Academy of Hospitality and Tourism,415.6,426.7,52.70%,72.8,57.4
17K524,International High School at Prospect Heights,400,376,63.40%,58.4,63
17K528,The High School for Global Citizenship,407.7,432.3,61.00%,54.1,61.4
17K531,"School for Human Rights, The",402.7,429,74.10%,75.7,64
17K533,School for Democracy and Leadership,458,479.5,47.40%,61.3,60
17K537,High School for Youth and Community Development at,446.3,442.8,79.20%,66,61.8
17K539,High School for Service & Learning at Erasmus,438.4,452,81.90%,65.1,65.7
17K543,"Science, Technology and Research Early College Hig",534.2,536,97.60%,72.2,70.5
17K546,High School for Public Service: Heroes of Tomorrow,507,525.6,94.60%,85.8,67.6
17K547,Brooklyn Academy of Science and the Environment,451.4,477,73.70%,67.7,66.4
17K548,Brooklyn School for Music & Theatre,411.1,439.3,74.40%,67.4,59.4
17K590,Medgar Evers College Preparatory School,546.5,549.9,97.90%,82.6,73.9
17K600,Clara Barton High School,439,449,75.10%,72.1,65.4
17K745,Brooklyn Institute for Liberal Arts,432.3,465.1,96.50%,75.6,71.5
17K751,Academy for Health Careers,432.2,453.2,82.70%,68.4,63.3
18K563,It Takes a Village Academy,435.6,449.9,89.20%,72.4,70.5
18K566,Brooklyn Generation School,463.2,466.6,75.40%,66.1,61
18K567,Brooklyn Theatre Arts High School,433.2,452.5,82.80%,63,61
18K569,Kurt Hahn Expeditionary Learning School,423,440.6,85.70%,61.5,
18K576,Victory Collegiate High School,423.6,441.3,75.80%,71.3,62
18K589,Arts & Media Preparatory Academy,419.7,441.8,61.00%,64.3,61.9
18K617,High School for Innovation in Advertising and Medi,443.3,463,69.70%,62.9,64.7
